"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"May 17, 2018","betternbtr","-","yes","You can learn a lot about your kids when they play this game! Fun game though!!","I was not 100% sure I wanted to get this for my 16 year old daughter to have to play with her teenage friends at her birthday. I did get it and I hung around while they were playing the game,girls and guys all about 16 yrs.old, very interesting,very mature conversations came from some of the cards.My husband and I  actually have fun playing this game with my 2 teenage daughters. You may surprised to learn a few things that your kids know,that you did not realize..you can have fun and learn a few things about your kids,actually leaves a lot of room for discussions with your kids.Some of the cards are rather disgusting,so you may want to take those out of the set.","4","-","-","https://www.amazon.com/gp/customer-reviews/R1D668OESCHZTM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"August 13, 2018","RaubeWanKenobi","-","yes","Great game -- for a handful of game nights","'Cards Against Humanity' is one of the most enjoyable games I have ever had the pleasure of playing in my adult years. Being 24, this is a college party MUST. I also acquired the 1st expansion pack to go along with the game and added my own variations of questions and answers. One of the few downsides to this game is after a few run-throughs and game nights, the cards get repetitive and you can only shuffle the deck so well. On my part, I could continue to buy the expansions to help keep the game interesting for future game nights. A small suggestion would be to come out with an entire blank expansion pack to allow CAH's players to keep the game rolling with new and original content. Other than that, this game is always a win and you'll almost always find someone who hasn't played yet.","4","-","-","https://www.amazon.com/gp/customer-reviews/RSY3Y9M6W9NZJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"November 2, 2015","David H","-","yes","Not for the "PC".","Was introduced to this game by a group of friends while we camped out in front of a theater waiting for the opening showing. It doesn't take long too get the hang of it, and you are really only limited by your own personal 'whimsy'...or some might say 'sick sense of humor'.  It's a funny, often raunchy, easily surreal game that pushes the boundaries (okay, it breaks them) of 'good taste'.If you haven't played, and you have any 'wicked' in your sense of humor, I'd suggest taking a look at this. If you are 'PC', easily offended, way down at the end of the far right or left of any scale, well, then I'd suggest you curl up with a good (?) reality TV show or your favorite 'agrees with you 100%' news broadcaster and leave this 'offensive' game to those of us who can laugh at the adult version of MadLibs.I liked the game so much, I had to come here to buy it. That's my recommendation ;)","4","-","-","https://www.amazon.com/gp/customer-reviews/R2ZS3JS1XIYYQL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 18, 2016","Bluediamondxoxo","-","yes","Definitely not for serious or easily offended people","This game is hilarious.  I first played it at a bachelorette party.  Although this game greatly offended some people and made them very upset, it brought many, many drunken laughs from the rest of us.  I have since played it sober with my family! Definitely not for serious or easily offended people.  If you worry about being polite, politically correct, or appropriate, do not buy this game!  However, It is definitely fun when you are looking for something stupid and raunchy.  I just bought this game for my boyfriend as a Christmas gift.  I know he will love it!","4","-","-","https://www.amazon.com/gp/customer-reviews/RYQ4C2DD3AJBC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"October 31, 2017","Son Of The Sea","-","yes","A Fun, Goofy Game for Those With a Sense of Humor","This is a fun, goofy game to bring out if your friends aren't the type to take offense and are maybe a little hesitant about other games. Easy to understand rules and everyone I have played it with had a great time laughing at how ridiculous some of the cards are. After you've seen all of the cards once or twice and it can lose the 'can you believe this card' shine, but it's always fun to bring out to the unexposed.If you're looking for other easy, fun games for parties, Codenames and The Resistance are great once Cards Against Humanity has grown old. You can also keep it fresh with a ton of expansions if you're looking to relive the feeling of being shocked that they put that card in the game.","4","-","-","https://www.amazon.com/gp/customer-reviews/R1GKGUNQ9I8KIV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"April 7, 2015","leiacooks","-","yes","simple and very fun","Lost one star because cards were bent but otherwise in good condition.Fun game, even better with larger groups. I absolutely recommend getting the expansion packs if you find yourself playing this a lot, as it will get repetitive.If you do find yourself wanting to play this game with only one other person with you, my boyfriend and I found this to be pretty fun:1) both players get 8 cards2) the person who is not judging cards picks 4 cards they think are the best in response to the black card being played3) they then rate each of the 4 cards. RATING: 7, being the most likely option the person judging will choose, 4, 2, and 1 being the least likely4) the person judging picks the best and whatever point was assigned to that card is the number of points you get. (Keep a white board or paper to keep track)You can mix it up as a drinking game as well, if the card that has only one point gets chosen drink.It's really a simple game and you can have fun mixing up the rules and being creative.","4","-","-","https://www.amazon.com/gp/customer-reviews/R2ZLYFEXMD0P6W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 23, 2018","Chris Larry","-","yes","great for non hobby board gamers who want to play board games/card games.","i personally like the game only because my family members love it. i would prefer to play more competitive games. I rate it 4 because sometimes this is the only way to get the family together at the table for a game night. this is the 2.0 which we had the 1.4 and just went through all the cards that were not in the 2.0 and took them out and gifted the 1.4 to a family member. there is a excel spreadsheet online that tells you all the cards in every expansion and re release which we used to do this process and it only took an hour to find the 100+ cards that were replaced.","4","-","-","https://www.amazon.com/gp/customer-reviews/R2Q45SHPW2XZVS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 20, 2015","Donna","-","yes","Fun game but too many words to look up","This game was all the buzz and I have played it a couple times at parties and I finally decided to buy my very own box of Cards Against Humanity. The game is messed up but it is absolutely hilarious. Although I think the game is kind of hit and miss because not everyone really gets into it and not because its inappropriate or anything but sometimes it kind of gets boring surprisingly enough but mostly because there are a lot of words that are not in people's regular vocabulary so when someone plays a card that know one knows a words definition, it kind of puts a damper on things...Overall I do like the game but you've got to get right crowd of people to play to make it fun and interesting. I have played it with people where would just laugh the whole time and played it with people where it was just a couple laughs here and there. I like the game but I don't like how I have to pull out my dictionary app to try and understand the cards I have and if it is a funny card, it doesn't get chosen because people don't immediately know what the word means but I usually have people switch out cards if they come across something they don't know the definition of.Guess I should extend my vocabulary or something.","4","-","-","https://www.amazon.com/gp/customer-reviews/R1T5APUPZL9GX5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"February 24, 2018","Amazon Customer","-","yes","Box may be damaged when you get it","The black box the cards come in was a little damaged when I first opened my package (which seems odd because the item is supposed to be new). Otherwise, the order is as described. 550 cards of inappropriateness that will let me look forward to some interesting nights with my friends.","4","https://images-na.ssl-images-amazon.com/images/I/81vMsTGJYZL._SY88.jpg","-","https://www.amazon.com/gp/customer-reviews/R3NV0PYOBRF0Z1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"March 23, 2015","Table Top Games Dad","-","yes","Classic game but gets old after about 20 plays","This game is a lot of fun with a large group of close friends. It is also fun in a group with not-so-close friends as you can easily determine if they are horrible people too. There are many house rules associated with this game; mine is that you have to Google image a card you don't know. Get the expansions and play with your friends and you will have a great time. I usually play on Saturday nights so I can cleanse my soul at church the next morning. After playing for the last couple of years the game has lost some of its' fun as the same cards continue to cycle through. I mainly play it now to introduce it to new players who have a great time. Once you play it about 20 times, it begins to get old but is still a classic game for adults only.P.S. Don't play with your parents unless you have copious amounts of alcohol on board.","4","-","-","https://www.amazon.com/gp/customer-reviews/R19B1XTPQJD4P5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
